home_team,away_team,home_goals,away_goals,home_shots,away_shots,home_shot_efficiency,away_shot_efficiency,home_faceoffs,away_faceoffs,home_faceoff_efficiency,away_faceoff_efficiency,attendance,capacity,attendance_rate,home_win,match_url
Металлург Мг,Нефтехимик,5,6,34,24,0.14705882352941177,0.25,26,28,0.48148148148148145,0.5185185185185185,1929,7700,0.25051948051948053,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054035/
Трактор,Салават Юлаев,0,3,25,26,0.0,0.11538461538461539,28,19,0.5957446808510638,0.40425531914893614,6215,7500,0.8286666666666667,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054037/
Локомотив,Северсталь,5,3,38,20,0.13157894736842105,0.15,38,17,0.6909090909090909,0.3090909090909091,2000,9071,0.22048285745783266,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054039/
Витязь,Адмирал,3,2,27,37,0.1111111111111111,0.05405405405405406,31,28,0.5254237288135594,0.4745762711864407,1932,5525,0.34968325791855204,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054041/
Спартак,Торпедо,4,3,30,29,0.13333333333333333,0.10344827586206896,26,37,0.4126984126984127,0.5873015873015873,2923,12724,0.22972335743476893,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054043/
Авангард,Сибирь,2,1,27,16,0.07407407407407407,0.0625,35,19,0.6481481481481481,0.35185185185185186,11767,12011,0.9796852884855549,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054045/
Динамо Мн,СКА,1,5,29,28,0.034482758620689655,0.17857142857142858,26,30,0.4642857142857143,0.5357142857142857,15005,15266,0.982903183545133,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054051/
Ак Барс,Амур,0,0,45,24,0.0,0.0,38,28,0.5757575757575758,0.42424242424242425,6582,8900,0.7395505617977528,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054047/
Куньлунь Ред Стар,ЦСКА,5,4,28,41,0.17857142857142858,0.0975609756097561,26,33,0.4406779661016949,0.559322033898305,1551,7000,0.22157142857142856,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054049/
Барыс,ХК Сочи,0,0,45,20,0.0,0.0,34,22,0.6071428571428571,0.39285714285714285,7779,12000,0.64825,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054053/
Автомобилист,Салават Юлаев,0,4,31,28,0.0,0.14285714285714285,31,23,0.5740740740740741,0.42592592592592593,5300,5570,0.9515260323159784,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054055/
Трактор,Нефтехимик,1,2,22,17,0.045454545454545456,0.11764705882352941,32,25,0.5614035087719298,0.43859649122807015,5417,7500,0.7222666666666666,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054057/
Динамо М,Северсталь,4,3,35,31,0.11428571428571428,0.0967741935483871,28,23,0.5490196078431373,0.45098039215686275,3752,11500,0.3262608695652174,1,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054059/
Спартак,Витязь,1,5,41,24,0.024390243902439025,0.20833333333333334,42,21,0.6666666666666666,0.3333333333333333,2959,12724,0.2325526563973593,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054061/
Куньлунь Ред Стар,Динамо М,0,0,24,43,0.0,0.0,27,27,0.5,0.5,597,7000,0.08528571428571428,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054063/
Торпедо,Динамо Мн,0,0,33,31,0.0,0.0,24,33,0.42105263157894735,0.5789473684210527,5500,5600,0.9821428571428571,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054065/
ЦСКА,СКА,0,0,43,29,0.0,0.0,28,31,0.4745762711864407,0.5254237288135594,4227,12680,0.3333596214511041,0,https://www.championat.com/hockey/_superleague/tournament/5077/match/1054067/
